PUBID,ComID,SQFT,BEDS,BEDS08,FTE,MRI,Source,HDD,CDD,EUIpre,EUI,WkrDen,BedDen,BedDen08,MRIDen,ADJWT
388,AR,519102,275,185,773,1,257021972.1,3293,1709,495.1280713,495.1280713,1.48911004,0.52976101,0.35638468,0.001926404,2.222222222
389,AR,80599,65,59,213.53,1,59330719.03,1744,2223,736.1222724,736.1222724,2.649288453,0.806461619,0.732019008,0.012407102,2.222222222
390,AR,650000,325,325,1600,2,280755127.4,1467,2189,452.1773979,431.9309652,2.461538462,0.5,0.5,0.003076923,2.222222222
396,AR,70000,25,25,124.9,0,29076697.36,4877,1146,433.3213909,415.3813909,1.784285714,0.357142857,0.357142857,0,30.58333333
397,AR,313000,257,247,850,1,215612105,1744,2223,688.8565654,688.8565654,2.715654952,0.821086262,0.78913738,0.003194888,2.222222222
399,AR,272673,204,204,770,1,180273611.9,445,3375,683.8198571,661.1348094,2.823895288,0.748148882,0.748148882,0.003667396,2.222222222
402,AR,328787,235,235,1060,1,211185077.4,1931,3803,673.4856694,642.3157771,3.223971751,0.714748454,0.714748454,0.003041483,21.83333333
403,AR,165217,89,89,410,1,93133766.06,3538,1995,571.2246685,563.7057086,2.481584825,0.538685486,0.538685486,0.006052646,3
407,AR,306202,252,252,948,1,51831255.94,1467,2189,181.4072277,169.2714481,3.095995454,0.822986133,0.822986133,0.003265818,2.222222222
408,BU,590854,317,274,1142,1,254315179.6,5973,1319,459.1033428,430.419663,1.932795581,0.536511558,0.463735542,0.001692465,21.83333333
409,BU,270000,239,167,639,1,132553031,5973,1319,501.5852998,490.9371517,2.366666667,0.885185185,0.618518519,0.003703704,21.83333333
411,AR,373986,253,253,1400,2,162912122.1,7493,551,443.8859266,435.6102157,3.743455637,0.676495912,0.676495912,0.005347794,21.83333333
412,BQ,245462,179,149,630.85,1,99333903.86,1201,3182,416.7402851,404.6813921,2.570051576,0.729237112,0.607018602,0.00407395,20.88235294
413,AR,242668,176,176,597,1,163012589.2,1602,2411,671.7514842,671.7514842,2.460151318,0.72527074,0.72527074,0.004120856,2.222222222
415,AR,161910,150,124,437,0,90474675.24,5707,1077,571.0107791,558.7960919,2.699030325,0.926440615,0.765857575,0,21.83333333
417,AU,433308,186,186,784,1,250415091.7,6131,774,577.9147666,577.9147666,1.809336546,0.429255864,0.429255864,0.002307827,21.83333333
419,AR,374872,317,317,845,1,239424382.9,2138,2294,638.6830249,638.6830249,2.254102734,0.845621972,0.845621972,0.002667577,3
420,DA,324156,252,240,980,1,217507955.4,1668,2869,684.1537525,670.997777,3.023235726,0.777403472,0.740384259,0.003084934,20.88235294
421,AR,399000,152,139,500,1,101765184.3,786,3248,262.388933,255.0505871,1.253132832,0.380952381,0.348370927,0.002506266,3
422,AR,86315,79,23,66,0,39762262.02,786,3248,467.3489199,460.664566,0.76464114,0.915252274,0.266465852,0,3
423,AR,1799651,661,501,2242,3,844264263.4,1915,3236,527.591451,469.1266603,1.245797102,0.367293436,0.27838731,0.00166699,3
425,AR,155000,128,107,368,1,73361381.85,5973,1319,489.2419023,473.2992378,2.374193548,0.825806452,0.690322581,0.006451613,21.83333333
426,AR,286000,214,214,689,1,173472462.8,337.0909091,3903.272727,616.0837159,606.5470726,2.409090909,0.748251748,0.748251748,0.003496503,3
427,AR,228450,222,193,848,1,124248977.6,1251,2947,591.7362586,543.8782121,3.711971985,0.971766251,0.844823813,0.004377325,3
430,BQ,1155673,875,738,3318,3,745776865.2,1201,3182,666.5469049,645.318239,2.871054355,0.757134587,0.638588943,0.00259589,20.88235294
431,BQ,385000,383,236,935,1,184878231.7,1201,3182,480.2031992,480.2031992,2.428571429,0.994805195,0.612987013,0.002597403,20.88235294
433,AR,337905,327,327,900,1,151196786.1,1201,3182,487.9634323,447.453533,2.663470502,0.967727616,0.967727616,0.002959412,3
436,AR,307845,223,183,835,1,156724934.9,1218,3059,523.1697605,509.103396,2.71240397,0.724390521,0.594455002,0.003248388,3
437,AR,461938,340,340,1117,1,236460973.4,3506,1526,569.9330638,511.8889838,2.418073421,0.73602951,0.73602951,0.002164793,2.222222222
439,AR,328403,202,187,800,1,190917393.5,1915,3236,613.5796369,581.3509422,2.43603134,0.615097913,0.569422326,0.003045039,3
440,AT,438688,221,221,1031,1,255694528.6,5601,1161,600.4350212,582.8619169,2.350189656,0.503774892,0.503774892,0.002279524,30.58333333
