PUBID8,SQFT,ADJWT,PBA,PBAPLUS,WKHRS,NWKER,PCNUM,NoWFridge,RWH,NonRWH,DistCtr,nRWH,HDD,HEATP,CDD,COOLP,SiteEUI,SourceEUI,PropSiteEUI,SmallPropane,WFDens
2179,15500,88.09,5,9,40,13,8,0,0,0,1,1,1357,20,1244,20,17.07012903,57.01423097,0,1,0
2210,10500,869.22,5,10,56,4,3,0,0,1,0,1,4654,100,1155,50,82.40438095,130.9314872,0,1,0
2213,450000,188.02,5,9,168,600,500,0,0,0,1,1,2476,99,1136,25,57.45397333,163.1485245,0,1,0
2266,6000,1164.83,5,9,40,4,5,0,0,0,1,1,880,20,4792,20,12.23933333,40.87937333,0,1,0
2282,32500,409.62,5,9,40,21,11,0,0,0,1,1,3891,100,1809,20,65.02193846,109.6329855,0,1,0
2295,164000,80.53,5,9,168,567,575,0,0,0,1,1,5156,100,602,40,188.4069878,349.6787757,0,1,0
2328,198000,88.09,5,9,80,35,30,0,0,0,1,1,2408,20,980,20,20.03907071,66.93049616,0,1,0
2398,70000,73.78,5,9,45,46,6,0,0,0,1,1,6551,100,780,5,83.37451429,88.10477294,0,1,0
2401,17500,808.04,5,9,50,4,1,0,0,0,1,1,4314,20,1120,20,8.943885714,25.711766,0,1,0
2404,79000,242.54,5,9,50,64,35,0,0,0,1,1,690,20,2110,20,16.63462025,55.55963165,0,1,0
